01001    400    756   1111     10     25      0      0      0      0
02002     83    180    277    300    700      0      0      0      0
03003   1111   1389   1666   1200   2000      0      0      0      0
04004   1000   1100   1200      1      5      0      0      0      0
05005   1000   5500  10000      3     30      0      0      0      0
06006  60000  61000  62000    500    650      0      0      0      0
07007    456    556    656    200    240      0      0      0      0
08008    100    200    300     80    400      0      0      0      0
09009    400    513    625    200    500      0      0      0      0
10010    286    421    555    350    450  85800 388500      0      0
11011    100    152    204      0      0   7500  30000      0      0
12012    100    150    200      0      0  10000  60000      0      0
13013    400    425    450      0      0   1000   6000      0      0
14014     80    118    155      0      0   1000  15000      0      0
15015     30     65    100      0      0   8000  15500      0      0
16016    500    750   1000    300    500      0      0      0      0
17017    100    189    278      0      0      0      0      0      0
18018    146    212    278    100    120      0      0      0      0
19019    200    300    400      0      0  60000 240000      0      0
20020    200    300    400      0      0  60000 240000      0      0
21021    200    300    400      0      0   4000  40000      0      0
22022    100    145    190      0      0      0      0      5     25
23023    120    185    250      0      0   5000  35000      0      0
23124    120    185    250      0      0   5000  35000      0      0
23225    120    185    250      0      0   5000  35000      0      0
24026   1111   1356   1600    400   1000      0      0      0      0
25027  22000  47000  72000    200   1800  22000  72000      0      0
26028   1100   1650   2200    100    600      0      0      0      0
27029    700   2850   5000      0      0 560000 1.0E+7      0      0
28030    600   1966   3332    200    650  25000  40000      0      0
29031    142    173    204    500    720      0      0      0      0
30032    200    350    500      0      0  60000 350000      0      0
31033      0      0      0      0      0      0      0      0      0
32034      0      0      0      0      0      0      0      0      0
