01001      0      0      0  20000  25000  35714     19    850      0      0
02002      0      0      0  20000  25000  35714     19    850      0      0
03003      0      0      0  80000  90000 100000    450    595      0      0
04104     25    163    300      0      0      0     18    200      0      0
04205     25    163    300      0      0      0     18    200      0      0
05006      0      0      0  11111  13889  16667    250    345      0      0
06007      0      0      0 180000 190000 200000    120    300      0      0
07008      0      0      0  66667  83334 100000    200    300      0      0
08009      0      0      0  25000  29152  33303    120    180      0      0
09110      0      0      0   2000   5000   8000      0      0     25     90
09211      0      0      0   2000   5000   8000      0      0     25     90
09312      0      0      0   2000   5000   8000      0      0     25     90
10113      0      0      0 400000 600000 800000    300    980      0      0
10214      0      0      0 400000 600000 800000    300    980      0      0
11015      0      0      0 166000 183000 200000    100    300      0      0
12016      0      0      0    156    391    625    100    230      0      0
13017      0      0      0 166000 183000 200000      0      0      0      0
14018      0      0      0  25000  40000  55000      0      0      0      0
15019      0      0      0  83333 115741 148148    132   1435      0      0
16020      0      0      0  41667  54167  66667    120    240      0      0
17021      0      0      0  16667  20834  25000    100    300      0      0
18022      0      0      0  71429  91270 111111      0      0      0      0
19023     25     38     50      0      0      0     15     50      0      0
20024      0      0      0   2000   2250   2500     15     23      0      0
21025      0      0      0  16667  63889 111111    300    400      0      0
22026      0      0      0  20833  27083  33333    174    220      0      0
23027      0      0      0  60000  75000  90000    300    760      0      0
24128     25     38     50      0      0      0     23    115      0      0
24229     25     38     50      0      0      0     23    115      0      0
24330     25     38     50      0      0      0     23    115      0      0
24431     25     38     50      0      0      0     23    115      0      0
24532     25     38     50      0      0      0     23    115      0      0
24633     25     38     50      0      0      0     23    115      0      0
24734     25     38     50      0      0      0     23    115      0      0
24835     25     38     50      0      0      0     23    115      0      0
25136     25     38     50      0      0      0     23    115      0      0
25237     25     38     50      0      0      0     23    115      0      0
25338     25     38     50      0      0      0     23    115      0      0
25439     25     38     50      0      0      0     23    115      0      0
25540     25     38     50      0      0      0     23    115      0      0
25641     25     38     50      0      0      0     23    115      0      0
26042      0      0      0  12500  29750  47000    390   2400      0      0
27043      0      0      0  55556 111112 166667      0      0      0      0
28044      0      0      0 200000 308334 416667      0      0      0      0
29045      0      0      0  20000  35000  50000    200    500      0      0
30046      0      0      0  13333  15000  16667    120    270      0      0
31047      0      0      0  20000  21111  22222     80    256      0      0
32148      0      0      0  40000  53334  66667    300    500      0      0
32249      0      0      0  40000  53334  66667    300    500      0      0
33050      0      0      0  13300  37650  62000     20    460      0      0
34051      0      0      0 160000 180000 200000      0      0      0      0
35052      0      0      0  20000  27857  35714    300    870      0      0
36053     25     38     50      0      0      0     18     33      0      0
37054      0      0      0100000013333341666667      0      0      0      0
38055      0      0      0  80000 102500 125000    400    500      0      0
39056      0      0      0  60000  75000  90000    400    590      0      0
40057      0      0      0   3333   5370   7407    110   1200      0      0
41058     25     35     45      0      0      0     30     50      0      0
42059      0      0      0  24000  28000  32000      0      0      0      0
43060      0      0      0  11111  38889  66667    200   1050      0      0
44061      0      0      0  11111  38889  66667   1300   1090      0      0
45062      0      0      0   7273   8637  10000    240    400      0      0
46063      0      0      0 303030 382997 462963    500    600      0      0
47064      0      0      0   1666   2083   2500    220    800      0      0
48065      0      0      0  13300  37650  62000      0      0      0      0
49066      0      0      0      0      0      0      0      0      0      0
50067      0      0      0      0      0      0      0      0      0      0
